"DEP","Score_LePen","Prop.Pharmacies.et.parfumerie","Dynamique.Entrepreneuriale","Dynamique.Entrepreneuriale.Service.et.Commerce","Synergie.Médicale.COMMUNE","Indice.Fiscal.Partiel","Score.Fiscal","Indice.Evasion.Client","Score.Evasion.Client","Indice.Synergie.Médicale","Score.Synergie.Médicale","Prop.Omnipraticiens.BV","Prop.Infirmiers.Libéraux.BV","Prop.dentistes.Libéraux.BV","Prop.pharmaciens.Libéraux.BV","Densité.Médicale.BV","Score.équipement.de.santé.BV","Indice.Démographique","Score.Démographique","Indice.Ménages","Score.Ménages","Population","Evolution.Population","Evolution.Pop..","Prop.Ménages","Prop.Résidences.Principales","Prop.propriétaire","Prop.Logement","Prop.Résidences.Secondaires","Prop.Log.Vacants","Prop.Occupants.Résidence.Principale","Prop.Femme","Prop.Homme","Prop.Mineurs","Prop.Majeurs","Prop.Etudiants","Prop.Entreprises.Secteur.Services","Prop.Entreprises.Secteur.Commerce","Prop.Entreprises.Secteur.Construction","Prop.Entreprises.Secteur.Industrie","Prop.Création.Enteprises","Prop.Création.Industrielles","Prop.Création.Construction","Prop.Création.Commerces","Prop.Création.Services","Moyenne.Revenus.Fiscaux.Départementaux","Moyenne.Revenus.Fiscaux.Régionaux","Dep.Moyenne.Salaires.Horaires","Dep.Moyenne.Salaires.Cadre.Horaires","Dep.Moyenne.Salaires.Prof.Intermédiaire.Horaires","Dep.Moyenne.Salaires.Employé.Horaires","Dep.Moyenne.Salaires.Ouvrié.Horaires","Reg.Moyenne.Salaires.Horaires","Reg.Moyenne.Salaires.Cadre.Horaires","Reg.Moyenne.Salaires.Prof.Intermédiaire.Horaires","Reg.Moyenne.Salaires.Employé.Horaires","Reg.Moyenne.Salaires.Ouvrié.Horaires","Valeur.ajoutée.régionale","Score.Urbanité","Prop.Atifs","Prop.Actifs.Salariés","Prop.Actifs.Non.Salariés","Prop.Logement.Secondaire.et.Occasionnel","Prop.Hotel","Capacité.Hotel","Prop.Camping","Capacité.Camping","Taux.étudiants","Taux.Propriété","Dynamique.Démographique.INSEE","Capacité.Fisc","Moyenne.Revnus.fiscaux","Taux.Evasion.Client","Prop.Education..santé..action.sociale","Prop.Services.personnels.et.domestiques","Prop.Sante.action.sociale","Prop.Industries.des.biens.intermédiaires","Prop.de.Commerce","Prop.de.Services.aux.particuliers","Prop.institution.de.Education..santé..action.sociale..administration","PIB.Régionnal","Score.Croissance.Population","Score.Croissance.Entrepreneuriale","Score.VA.Région","Score.PIB"
"01",43.0120588235294,1.70703687576699e-05,102.218137254902,63.8774509803922,129.125,101.93878,59.04139,48.7167636519608,0.0208263480392157,129.767380098039,0.154992794117647,0.0504119697733996,0.0492423075511471,0.0249991279470028,0.0249991279470028,0.390100274031863,2.17892156862745,76.6998737009804,0.0591833333333333,73.1918514705882,0.0437210539215686,1258.15196078431,44.7401960784314,0.696078431372549,0.385963853571532,0.386122811139684,0.273582593033089,0.520376116865374,0.0999458530616482,0.0343074526640419,0.984526223094701,0.962758099085169,0.981886053742847,1.19182815928569,0.75281599354233,0.0643905864237264,0.0169159329809799,0.0143167642861109,0.00845769818829985,0.00965788607869441,0.00434374758264055,0.000432886116392577,0.00092747961703281,0.00093215605481186,0.0020512257944033,12509,10458,11.41034483,21.9637931,12.55862069,8.743103448,9.268965517,11.87302231,21.78782961,12.7040568,8.7831643,9.301419878,86957.45836,8.42524509803922,0.431539103073163,0.362556418185477,0.0689826848876867,0.0999458530616482,0.000332686031738425,9.77205882352941,0.000210487287683526,16.3504901960784,0.00245098039215686,56.3063725490196,-4.79656862745098,123.34068627451,11483.5,0.392156862745098,0.00253641277638214,0.00119922120880895,0.00270954866795167,28.5350938586284,28.4924313945083,10.2755592152173,46.0297514667431,173681,71.5967540931372,0.022606568627451,32.42578,33.83811
"02",55.902723880597,2.62377247211063e-05,33.5559701492537,26.1417910447761,70.2761194029851,94.70618,42.87582,13.2880426741294,0.00568064676616915,70.6257337437811,0.0764461194029851,0.11484483200129,0.0855998374995104,0.0590839791808343,0.0590839791808343,0.285844495273632,2.59701492537313,40.4917248756219,0.0312444900497512,38.5073346766169,0.0230016417910448,664.208955223881,20.8072139303483,1.61567164179104,0.369861033294161,0.37014838020642,0.283278724632271,0.45410483253118,0.0535760722012318,0.0303803801235289,0.99304346973375,0.966947986277487,0.980006050837462,1.20207643993467,0.744877597180276,0.0705102501626504,0.0150319157714711,0.00832759985668355,0.0053997235231484,0.00611161158677765,0.00252438166553996,0.000176381820972606,0.000716246056683061,0.000528639905465333,0.00110311388241896,9471,9716,10.39722222,22.25555556,12.325,8.691666667,9.061111111,11.17448276,21.69103448,12.67310345,8.897241379,9.373793103,24429.00321,3.29601990049751,0.377753042214196,0.317528216104785,0.0602248261094109,0.0535760722012318,9.74729928342758e-05,2.44154228855721,5.19129464041113e-05,3.15547263681592,0.00497512437810945,62.9639303482587,-2.03980099502488,71.1218905472637,9593.5,0.106965174129353,0.00129305801673325,0.000667512482012496,0.00144560743876443,18.9452089544234,14.9277579735741,4.49861754854117,26.77141216387,42778,71.9736365920398,0.00783247512437811,8.27008,7.3653
"03",40.1123028391167,2.81792093289093e-05,54.3280757097792,56.4889589905363,65.7570977917981,97.04556,48.10458,59.9585027760252,0.0256322712933754,66.0842299369085,0.0704151104100946,0.0326108563103708,0.0351080384589362,0.017937589828603,0.017937589828603,0.471799714608833,2.14826498422713,66.1481652050473,0.0510414511041009,71.7376768769716,0.0428521451104101,1085.06624605678,-30,-3.64984227129338,0.411276036255235,0.411407390425268,0.291515143032549,0.581564283437664,0.0979452749670343,0.0722116180453619,0.988035840813231,0.969881212426091,0.985729850956209,1.16080491233372,0.794806151048577,0.0570137922018783,0.0148940265001169,0.013390610003809,0.00701489120133327,0.00728996620559922,0.00334560371327163,0.000237907781916384,0.000728578849858742,0.00100318361273515,0.00137593346876135,10220,9956,10.4125,21.0375,12.22083333,8.5375,8.816666667,10.80754717,21.07169811,12.25377358,8.63490566,8.98490566,17637.22798,5.00788643533123,0.37387651128402,0.277562109635252,0.096314401648768,0.0979452749670343,0.000236234228535407,9.98738170347003,0.000324480139639543,9.33123028391167,0.00630914826498423,51.8927444794953,2.88958990536278,75.2523659305994,10088,0.482649842271293,0.00214313951471552,0.00107235502043277,0.00248719250047393,6.60991336037801,5.2350027120159,2.02282208221416,11.8844599627229,31630,69.8156390536278,0.018132429022082,5.64631,5.11081
"04",42.1983333333333,0.000126402748181914,79.8484848484848,60.979797979798,122.015151515152,90.28084,32.98475,161.872518737374,0.0691997474747475,122.622160252525,0.145502929292929,0.203297167434287,0.225374331372273,0.100924401798831,0.100924401798831,0.18159638619697,3.44949494949495,42.9187115151515,0.0331170202020202,45.2250944949495,0.027015,704.020202020202,2.90909090909091,-1.38888888888889,0.429901562036154,0.430139577559968,0.2799360111135,1.07192691665719,0.58749598389021,0.0542913552070105,0.982569727852663,0.954926349783808,1.0039571377676,1.16700890442937,0.791874583122037,0.0505899052231502,0.0331068694247814,0.0267287039327714,0.0161799551906588,0.0125997653614194,0.0086527298021096,0.000732162152842414,0.00139959737266178,0.00190633168180276,0.00461463859480265,7491,9262,11,20.60714286,12.55,8.514285714,9.207142857,11.81486486,21.83513514,12.77331081,8.660472973,9.207094595,62711.26377,2.20959595959596,0.372522733590409,0.261637049800035,0.110885683790375,0.58749598389021,0.0011377968195526,13.0757575757576,0.00176795483080228,56.1969696969697,0,32.5656565656566,-0.232323232323232,92.3434343434343,8376.5,1.3030303030303,0.00372619573291673,0.00132174624982751,0.00393610065039404,25.2445237075135,66.4196337795541,28.2909755657162,124.537904472716,130177,70.7422595454545,0.0244865656565657,23.05911,25.04019
"05",36.7795808383234,0,88.1676646706587,78.5508982035928,101.299401197605,90.28084,32.98475,258.869795928144,0.110665568862275,101.803351137725,0.117852754491018,0.0825146815223134,0.098525911983722,0.0374168645674029,0.0374168645674029,0.326147570784431,3.01796407185629,43.6486622155689,0.0336802395209581,45.4432407784431,0.0271447904191617,715.994011976048,14.4131736526946,-0.958083832335329,0.421631056878409,0.421393684629655,0.289091168334653,1.12192523551863,0.64374386736909,0.0567876835198901,0.980810225169054,0.959531663657337,0.997631601678927,1.16888324830893,0.78828001702733,0.053854101624065,0.0446972010982903,0.0378289303197051,0.0130957235702494,0.0129212141964423,0.0100269631193098,0.000791915317261809,0.00155445121935317,0.00112098025176129,0.00655961633093349,10714,9262,10.52857143,21.2,12.4,8.628571429,9.057142857,11.81486486,21.83513514,12.77331081,8.660472973,9.207094595,62711.26377,1.87125748502994,0.394507230010551,0.281033501452973,0.113473728557578,0.64374386736909,0.00273634384934754,29.4610778443114,0.00183190821301377,72.1976047904192,0.00598802395209581,34.0239520958084,-1.51497005988024,95.4191616766467,9988,2.08383233532934,0.00420839961412637,0.00183760645100277,0.0045570498832209,22.830399994524,60.0679507463116,25.5855208790637,112.628394440482,130177,70.9188185628743,0.0205662874251497,23.05911,25.04019
"06",51.2742331288344,0.000170370917449861,494.834355828221,599.073619631902,282.300613496932,90.28084,32.98475,806.337154785276,0.344705214723926,283.705020981595,0.359435582822086,0.0399584118451261,0.0396713278810422,0.0207528947566331,0.0207528947566331,0.831894025294479,1.52760736196319,378.439925460123,0.292013680981595,420.619503558282,0.251261472392638,6207.76687116564,-37.0245398773006,-1.88343558282209,0.430245035559617,0.428724555479345,0.280807644455923,0.975809099310508,0.457426949286629,0.0896575945445349,0.97978676600231,0.975571824833234,0.984445896560614,1.1571347282669,0.802882993126946,0.0530656816870071,0.0279413190457099,0.0323870801748854,0.0142752286638129,0.0105636693008887,0.00904729067770186,0.000427800436806148,0.00181464430700777,0.00169534963196739,0.00510949630192055,12288,9262,12.57924528,22.51886792,12.86415094,8.835849057,9.354716981,11.81486486,21.83513514,12.77331081,8.660472973,9.207094595,62711.26377,30.521472392638,0.375727065984357,0.297193227409688,0.0785338385746684,0.457426949286629,0.0010740932518217,163.736196319018,0.000416568437576615,49.9263803680982,0.122699386503067,36.6073619631902,4.06748466257669,-187.515337423313,10775,6.49079754601227,0.00483140059458959,0.00167152514379571,0.00477335833002586,11.9046076377527,31.3216319210445,13.3412286839407,58.7285744010437,130177,70.5395768711657,0.221305766871166,23.05911,25.04019
"07",37.1171091445428,2.82751755519208e-05,86.023598820059,49.0442477876106,142.206489675516,101.93878,59.04139,154.276936755162,0.0659530383480826,142.913948318584,0.172452979351032,0.0851234697033377,0.103651858031816,0.0444375726242767,0.0444375726242767,0.179213181448378,3.28908554572271,51.4601179056047,0.0397078761061947,51.8429430973451,0.0309679056047198,844.129793510324,1.3834808259587,-2.76106194690265,0.413145811137995,0.413619028524456,0.297106490857949,0.76675842252949,0.305936367735709,0.0472030262693256,0.983101800005922,0.96221996907006,0.99232246545775,1.16034459834619,0.794197836181623,0.0538696583151913,0.0195325647158273,0.0188375224585525,0.0102724127772307,0.00902554019100467,0.00540623447839627,0.000425322910818403,0.00110978717302834,0.00127312367237913,0.00259800072217039,9339,10458,10.56896552,21.06551724,12.31724138,8.555172414,8.910344828,11.87302231,21.78782961,12.7040568,8.7831643,9.301419878,86957.45836,4.94100294985251,0.369225469474714,0.273617942414721,0.0956075270599937,0.305936367735709,0.000732540469907242,7.86135693215339,0.00162806500975203,66.6578171091445,0,43.6784660766962,-0.212389380530973,110.135693215339,9898.5,1.24188790560472,0.00264979724624191,0.00106593030599946,0.0029955462490934,39.2415832429409,39.1829136396302,14.1309930259715,63.3003112862689,173681,70.1798931268437,0.0204334513274336,32.42578,33.83811
"08",52.5000663716814,1.35494217352624e-05,31.4446902654867,25.9491150442478,67.3672566371681,97.92283,50.06536,18.41429,0.00787212389380531,67.702399159292,0.0725639159292035,0.162574211831957,0.14792955117355,0.0676445732285744,0.0676445732285744,0.297150668150442,3.15486725663717,38.854313340708,0.0299811725663717,37.5216685176991,0.0224130752212389,637.349557522124,21.6128318584071,-0.422566371681416,0.387326487883045,0.38747350887365,0.302376028937578,0.488441952530805,0.0592873606763204,0.0416810829808348,0.995043837390014,0.96281849601336,0.987592759246278,1.1885089313584,0.761902323901241,0.0654611530246859,0.0159360317773131,0.00869180558202787,0.00602754926018493,0.00654760051918583,0.00302317340383475,0.000331789348407263,0.000822611303326274,0.000646492501716303,0.00122228025038491,6282,10046,10.46190476,20.43809524,12.54761905,8.576190476,9.404761905,10.65243902,20.93170732,12.48902439,8.663414634,9.082926829,19749.43799,2.87610619469027,0.365859900090084,0.281153298685001,0.0847066014050826,0.0592768754185928,3.93634595102695e-05,2.18805309734513,0.000131666709466841,6.26991150442478,0.00442477876106195,63.0575221238938,-2.43805309734513,63.0840707964602,8164,0.148230088495575,0.00139191004649419,0.000736574101589398,0.00168634429966467,16.3755096195014,14.7159288239825,3.98005659810304,28.1394407452599,35310,71.1382932743363,0.00964068584070796,6.46229,5.85503
"09",35.4364954682779,5.41537978330635e-06,39.9909365558912,26.2447129909366,87.1540785498489,109.67825,76.33987,42.7853873716012,0.0182907854984894,87.5876594864048,0.0989738972809668,0.245135309448062,0.303455297856496,0.132310578059582,0.132310578059582,0.135190044743202,3.65256797583082,25.2912627190332,0.0195152265861027,26.5477448942598,0.0158576132930514,414.867069486405,-13.8398791540786,-5.72809667673716,0.432836060648421,0.43269138857486,0.319882236166718,0.969237423383913,0.481962427554774,0.054583607254279,0.990269330751835,0.957813747013553,0.998430370508399,1.14845238637432,0.807791731147628,0.0493784030660886,0.0272108144907567,0.0140923857235477,0.00986091081714289,0.00937135892993503,0.00536902959383401,0.00036780444299784,0.00151870249477396,0.00073959230304857,0.00274293035301363,9918,11252,10.39230769,21.49230769,12.11538462,8.353846154,8.838461538,11.29585492,21.01709845,12.35181347,8.61865285,8.921243523,33631.55025,1.66163141993958,0.350755324308101,0.262828619377996,0.0879267049301049,0.481962427554774,0.000425340139191506,3.78851963746224,0.000704971866913229,13.5981873111782,0,44.2870090634441,1.20845921450151,81.7280966767372,10585,0.344410876132931,0.00195378522461594,0.000864570502595093,0.00243733667664373,23.2258928780674,44.5433015351463,14.6677214971568,91.6792608799372,71295,68.963895347432,0.00968425981873112,11.82517,13.13235
"10",53.3316083916084,2.84651317100758e-05,37.2517482517483,33.3869463869464,54.032634032634,97.92283,50.06536,21.1389873193473,0.00903692307692308,54.3014386946387,0.0547653613053613,0.0793652293209133,0.0610208381715674,0.0378196662593228,0.0378196662593228,0.351080364564103,2.24009324009324,41.3694056643357,0.0319214685314685,41.7487002797203,0.024937972027972,678.606060606061,15.1142191142191,-0.477855477855478,0.393258873800863,0.393418427835208,0.313414543789667,0.496241811293582,0.0647279785224619,0.0380954049359117,0.990996293495733,0.970223504207552,0.981314545255879,1.1818298860888,0.769708163374636,0.060862192925595,0.0171629856586222,0.0127422579509662,0.00716135511594984,0.00938460839779822,0.00265843126932642,0.000296114862157476,0.000553527288383513,0.000599793053514955,0.00120899606527047,9364,10046,10.48095238,21.35238095,12.56666667,8.523809524,8.585714286,10.65243902,20.93170732,12.48902439,8.663414634,9.082926829,19749.43799,3.64219114219114,0.408030561554598,0.313028659193871,0.0950019023607272,0.0644496498859243,0.000189998888835802,4.49417249417249,8.76607444400645e-05,3.57575757575758,0.00699300699300699,64.1585081585082,-1.73659673659674,67.8671328671329,9705,0.17016317016317,0.00117227674460371,0.000658256556582932,0.00141464026843416,15.0994376562083,13.5691807457585,3.66990816576901,25.9466569948835,35310,71.1156338228438,0.00980219114219114,6.46229,5.85503
